Index,위도값,경도값,RSE_ID,ExitingCount,EnteringCount,Address,Date
53,35.669408,129.175983,362002779,39559,39355,대한민국 울산광역시 울주군 두서면 전읍리 331-3,2024-04-16
6,36.84408,127.17605,162005679,143011,142848,대한민국 충청남도 천안시 서북구 성거읍 요방리 219-7,2024-04-21
68,35.918066,129.006783,362003161,26584,27011,대한민국 경상북도 영천시 북안면 임포리 385-5,2024-04-19
83,36.13882,128.06343,262004287,22575,22545,대한민국 경상북도 김천시 봉산면 신리 325-4,2024-04-22
8,37.34333,127.10556,162006266,122948,121528,대한민국 경기도 성남시 분당구 구미동 173-2,2024-04-03
64,,,462015611,25276,24216,,2024-04-18
24,36.72039,127.33097,162005435,75465,75352,대한민국 충청북도 청주시 흥덕구 옥산면 사정리 산22-1,2024-04-04
74,35.87981,128.83829,262003338,26645,26592,대한민국 경상북도 경산시 진량읍 문천리 산26-2,2024-04-16
55,35.829574,129.119259,362003007,43140,43136,대한민국 경상북도 경주시 건천읍 모량리 382-1,2024-04-08
95,36.71603,127.34914,162005422,725,732,대한민국 충청북도 청주시 흥덕구 옥산면 장남리 287,2024-04-09
92,36.85541,127.18106,162005692,6995,7011,대한민국 충청남도 천안시 서북구 성거읍 요방리 117-3,2024-04-19
30,35.90586,128.4924,262003687,54195,54550,대한민국 경상북도 칠곡군 지천면 오산리 762-2,2024-04-12
67,36.29508,127.6018,262004808,22786,22695,대한민국 충청북도 옥천군 옥천읍 구일리 817-11,2024-04-05
61,35.669408,129.175983,362002779,29627,29605,대한민국 울산광역시 울주군 두서면 전읍리 331-3,2024-04-06
47,37.23222,127.10694,162006144,48482,50257,대한민국 경기도 용인시 기흥구 공세동 656-16,2024-04-21
42,35.90045,128.67529,262003501,59766,61875,대한민국 대구광역시 동구 둔산동 594-2,2024-04-21
15,36.80417,127.165,162005633,92050,91237,대한민국 충청남도 천안시 동남구 원성동 81-2,2024-04-13
5,36.88167,127.18917,162005723,125030,124546,대한민국 충청남도 천안시 서북구 성거읍 정촌리 232-38,2024-04-13
84,36.31666,127.5576,462004853,16584,19077,대한민국 충청북도 옥천군 옥천읍 옥각리 산63-2,2024-04-07
34,36.64024,127.37826,162005324,62480,62449,대한민국 충청북도 청주시 흥덕구 강내면 학천리 511-4,2024-04-19
69,36.15981,128.22747,262004121,31587,32187,대한민국 경상북도 김천시 아포읍 봉산리 1229-11,2024-04-01
79,36.21047,127.94939,262004437,22321,22325,대한민국 충청북도 영동군 추풍령면 계룡리 241-1,2024-04-04
63,35.613003,129.145706,362002711,29251,29350,대한민국 울산광역시 울주군 두서면 구량리 282-1,2024-04-03
91,37.33278,127.10361,462006250,8400,8332,대한민국 경기도 용인시 수지구 죽전동 866-14,2024-04-22
80,36.22234,127.90606,262004479,24126,24720,대한민국 충청북도 영동군 황간면 마산리 269-2,2024-04-15
30,36.58449,127.42647,162005243,67930,61152,대한민국 충청북도 청주시 서원구 남이면 석실리 365-12,2024-04-19
18,36.51436,127.42951,162005164,68291,68596,대한민국 충청북도 청주시 서원구 현도면 우록리 773-22,2024-04-12
55,35.28722,129.10333,262002305,36902,40288,대한민국 부산광역시 금정구 노포동 1112-8,2024-04-06
29,36.68178,127.36983,162005373,85116,84821,대한민국 충청북도 청주시 흥덕구 옥산면 국사리 203,2024-04-14
