Index,위도값,경도값,RSE_ID,ExitingCount,EnteringCount,Address,Date
52,36.1362,128.31906,262004031,38586,38679,대한민국 경상북도 구미시 도량동 449,2024-04-26
54,37.405833,127.094167,162006338,40479,47517,대한민국 경기도 성남시 분당구 삼평동 418-1,2024-04-28
18,35.91542,128.61307,262003565,77259,78872,대한민국 대구광역시 북구 검단동 1393-216,2024-04-26
46,37.405833,127.094167,162006338,40243,47563,대한민국 경기도 성남시 분당구 삼평동 418-1,2024-04-30
90,37.33278,127.10361,462006250,8097,8080,대한민국 경기도 용인시 수지구 죽전동 866-14,2024-04-23
31,36.37486,127.43024,162005000,71657,70635,대한민국 대전광역시 대덕구 법동 산14-3,2024-04-29
43,36.34686,127.4713,162004949,48026,47811,대한민국 대전광역시 동구 비룡동 416-1,2024-04-25
62,35.829574,129.119259,362003007,28873,28900,대한민국 경상북도 경주시 건천읍 모량리 382-1,2024-04-24
69,35.576942,129.133043,362002668,28161,28301,대한민국 울산광역시 울주군 언양읍 직동리 945-20,2024-04-23
68,36.29508,127.6018,262004808,25474,25387,대한민국 충청북도 옥천군 옥천읍 구일리 817-11,2024-04-25
35,36.42571,127.41682,162005060,63331,64498,대한민국 대전광역시 대덕구 상서동 359-19,2024-04-24
44,35.90045,128.67529,262003501,45986,45382,대한민국 대구광역시 동구 둔산동 594-2,2024-04-23
70,36.30847,127.57572,162004836,26542,26494,대한민국 충청북도 옥천군 옥천읍 문정리 263-1,2024-04-23
72,36.27247,127.73767,262004680,24044,24023,대한민국 충청북도 영동군 용산면 부상리 408-1,2024-04-25
1,37.09439,127.12184,162005969,150276,151003,대한민국 경기도 용인시 처인구 남사읍 진목리 949-383,2024-04-30
94,36.65787,127.36991,162005342,3444,3450,대한민국 충청북도 청주시 흥덕구 옥산면 경부고속도로 309,2024-04-25
63,35.724461,129.194676,362002843,37441,37525,대한민국 경상북도 경주시 내남면 월산리 1097-3,2024-04-29
39,36.61108,127.40018,162005284,59756,56918,대한민국 충청북도 청주시 흥덕구 신전동 157-3,2024-04-24
28,36.70424,127.34704,162005405,72085,72605,대한민국 충청북도 청주시 흥덕구 옥산면 장남리 363-17,2024-04-27
69,36.29508,127.6018,262004808,25508,25479,대한민국 충청북도 옥천군 옥천읍 구일리 817-11,2024-04-24
68,35.814039,129.169968,362002953,26035,26202,대한민국 경상북도 경주시 율동 947-5,2024-04-24
28,37.01353,127.14477,462005881,64723,64240,대한민국 경기도 안성시 원곡면 경부고속도로 365,2024-04-23
87,36.2971,127.59527,462004814,8527,8518,대한민국 충청북도 옥천군 옥천읍 매화리 251-4,2024-04-26
39,36.61108,127.40018,162005284,59254,56175,대한민국 충청북도 청주시 흥덕구 신전동 157-3,2024-04-30
10,37.05325,127.13641,162005925,128227,125359,대한민국 경기도 안성시 원곡면 지문리 산133-4,2024-04-28
4,37.15923,127.08844,162006058,123020,125365,대한민국 경기도 오산시 부산동 157-3,2024-04-26
40,36.07013,128.37529,262003923,57267,58640,대한민국 경상북도 구미시 오태동 228-2,2024-04-24
